id_brand,id_model,ad_id,subject,body,region_name,company_ad,condition_ad,type,price,webp_image,regdate,condition_ad_name,mileage_v2,motorbiketype,params,plate,veh_inspected,motorbikeorigin,gds_inspected,official_store
1,10,149803022,bán xe cub đen nham đơi mới xe dep nhu xe thung,Minh ban con xe cub 50cc do malaysia san xuất! Mau đen nhám cưc hót! Xe đep nhu xe thung ! Led 2 tâng! Bstp sang tên thoai mái! Hỗ trơ ace sang tên ạ! Vui long goi truc tiep hay nt zalo !,Tp Hồ Chí Minh,True,1,s,19800000,https://cdn.chotot.com/sCr0WQTaX7HZ5ywlUzx9oXX69lpWn75-dxlpJYWo87o/preset:listing/plain/416d7f890509dcd934c05f79ab723af8-2842296396111829949.webp,2022,Đã sử dụng,209,2,"[{'id': 'regdate', 'value': '2022', 'label': 'Năm đăng ký'}, {'id': 'motorbiketype', 'value': 'Xe số', 'label': 'Loại xe'}, {'id': 'condition_ad', 'value': 'Đã sử dụng', 'label': 'Tình trạng'}]",4764,2,7,2,2
1,10,149832516,Xe cub 50cc rin chất biển hà nội,Mình dư chiếc xe cub 50cc không dùng đến thành lý. Hồ ca s bác cần mua cho các con đi học xe máy nguyên Rin hình thức còn rất đẹp xe chạy khoẻ và chắc chắn điện đề đèn còi xì nhan đầy đủ giấy tờ an ninh đảm bảo các bác mua về yên tâm sử dụng,Hà Nội,True,1,s,7000000,https://cdn.chotot.com/X4lvlwb2PH65Qq_t_HGzXUOuanfgAtbWCoItOB0DCS4/preset:listing/plain/4579d4cedb2cb9bf78d931ba0b68c8a7-2842430173869772764.webp,2019,Đã sử dụng,26000,2,"[{'id': 'regdate', 'value': '2019', 'label': 'Năm đăng ký'}, {'id': 'motorbiketype', 'value': 'Xe số', 'label': 'Loại xe'}, {'id': 'condition_ad', 'value': 'Đã sử dụng', 'label': 'Tình trạng'}]",,2,1,2,2
1,10,148610606,Cub 50cc Classic dk năm 2020 dành cho học sinh,"🅒🅗à🅞  🅑á🅝
  
🔱 🅽🅴🆆 cub Ally 50cc vành nhiều nan dk năm 2020

⚜️ Hãng xe   : ALLY 50cc Classic
⚜️ dòng xe.    : xe số
⚜️ Đăng ký   : 2020
⚜️ Biển số     : 89AA_06284
⚜️ Dung tích : 50cc
⚜️ Xe               : xe  quá đẹp
⚜️ Màu          :  xanh
⚜️ Odo           : 6000km
⚜️ Phụ kiện    : 2 gương 2 chìa khoá 
⚜️ Chính chủ : ✍🏻 viết giấy

⚜️ Giá ❤️❤️  : 8.900.000₫

📞.  *** 

📞.  ***

🏠 Địa chỉ: số 52 ngõ 17 phố Phùng chí kiên, phường nghĩa đô, quận cầu giấy Hà Nội!",Hà Nội,True,1,s,8300000,https://cdn.chotot.com/n0Blxd89NvHtNz0cVvN5fJ_oDcTd7Vx_H47090LeZW0/preset:listing/plain/42c6b9c9235a724558833c2b5f7832c0-2836982650558828304.webp,2020,Đã sử dụng,6000,2,"[{'id': 'regdate', 'value': '2020', 'label': 'Năm đăng ký'}, {'id': 'motorbiketype', 'value': 'Xe số', 'label': 'Loại xe'}, {'id': 'condition_ad', 'value': 'Đã sử dụng', 'label': 'Tình trạng'}]",,2,1,2,2
1,10,140887769,xe bán honđa cub(50cc)(đời 81)BS:62-780.KM,"xe bình kèn đèn xi nhang đầy đủ,máy im ru.xem xe vòng xoay số 03 đường trần phú,phường cái khế,quận ninh kiều,cần thơ.cám ơn đã xem tin.",Cần Thơ,True,1,s,6800000,https://cdn.chotot.com/VQbm_Fj5nb3hYZbSwbvJaAc_E_o73QJ43NFQaJtjxKQ/preset:listing/plain/5d409d8d59ff69d36e4160dfc6022de4-2804654428630694596.webp,1988,Đã sử dụng,68638,2,"[{'id': 'regdate', 'value': '1988', 'label': 'Năm đăng ký'}, {'id': 'motorbiketype', 'value': 'Xe số', 'label': 'Loại xe'}, {'id': 'condition_ad', 'value': 'Đã sử dụng', 'label': 'Tình trạng'}]",62-780.KM,2,,2,2
1,10,149828823,Xe số Honda Cub 2020 xám bóng,"- Xe vẫn còn đi được tốt
- Vạch xăng và vạch tốc độ vẫn còn hoạt động tốt 
- Biển xe bị gãy ở góc nhưng không gây ra vấn đề về âm thanh đi lại hay trở ngại 
- Mất xi nhan đằng sau xe ( xi nhan sau xe cub rất dễ gãy và có thể mua, thay dễ ) 
- Phanh tay và phanh chân vẫn hoạt động tốt",Hà Nội,False,1,s,7500000,https://cdn.chotot.com/wZy9zfZjIypPQe4IyLRoTz5sxVbDbGiFFSfnmYcUKsQ/preset:listing/plain/aecf7f136672f71108026fab9ab6b41c-2842366834036323315.webp,2020,Đã sử dụng,6000,2,"[{'id': 'regdate', 'value': '2020', 'label': 'Năm đăng ký'}, {'id': 'motorbiketype', 'value': 'Xe số', 'label': 'Loại xe'}, {'id': 'condition_ad', 'value': 'Đã sử dụng', 'label': 'Tình trạng'}]",29AA - 908.59,2,6,2,2
1,10,149824621,Cần bán dd70,"Cần ra đi dd70 cho ae về sưu tầm 
Lh ***",Cần Thơ,False,1,s,25000000,https://cdn.chotot.com/PZXQ978He1mR92AF4UH--mdQuSuCU0oWwkpPjFLHGbo/preset:listing/plain/459d8ec30471e8146bcc09274026b824-2842352087717525854.webp,1999,Đã sử dụng,400000,2,"[{'id': 'regdate', 'value': '1999', 'label': 'Năm đăng ký'}, {'id': 'motorbiketype', 'value': 'Xe số', 'label': 'Loại xe'}, {'id': 'condition_ad', 'value': 'Đã sử dụng', 'label': 'Tình trạng'}]",,2,5,2,2
1,10,147614940,HONDA CUB 50 MÀU XÁM HỌC SINH BIỂN 29AA,"Giấy tờ đầy đủ,ko hỏng hóc gì,mua bán tại nhà,ai cần alo trực tiếp cho mình nhé",Hà Nội,True,1,s,6900000,https://cdn.chotot.com/EVQXaV3Z5cTDa7x2g7A3Cnxl4gX4vhXYgJXYiDxJeOU/preset:listing/plain/4263af9dab7250d87e7b10b934e21814-2832783425475922416.webp,2020,Đã sử dụng,2600,2,"[{'id': 'regdate', 'value': '2020', 'label': 'Năm đăng ký'}, {'id': 'motorbiketype', 'value': 'Xe số', 'label': 'Loại xe'}, {'id': 'condition_ad', 'value': 'Đã sử dụng', 'label': 'Tình trạng'}]",29,2,,2,2
1,10,149823476,Cần bán cúp 90 chính chủ,Cúp 90 Đồ zin rất nhiều. Máy êm ru chính chủ bao hs. Xem xe thành phố vĩnh long,Vĩnh Long,True,1,s,19000000,https://cdn.chotot.com/dQ-Q2B8jBzK1NP7cJUTwCFuGg3CQ2OR2pke_NVU6Zos/preset:listing/plain/db0b1ac2f188feb8adb141e5d6a36247-2842347771856526451.webp,1989,Đã sử dụng,1234,2,"[{'id': 'regdate', 'value': '1989', 'label': 'Năm đăng ký'}, {'id': 'motorbiketype', 'value': 'Xe số', 'label': 'Loại xe'}, {'id': 'condition_ad', 'value': 'Đã sử dụng', 'label': 'Tình trạng'}]",64b259269,2,5,2,2
1,10,149821860,cần bán dd,"Xe dọn sạch sẽ,dọn tâm huyểt,đồ zin nhiều,giá ko đủ trả thợ mua vào đồ,có hoá đơn.",Hà Nội,False,1,s,9800000,https://cdn.chotot.com/OSdxymkrqtFZ3R0xGZxSsUXG07wf48nUFbXljRtBQNc/preset:listing/plain/670934ed245be63c9da83adf2f7876a1-2842341688444303696.webp,1996,Đã sử dụng,120000,2,"[{'id': 'regdate', 'value': '1996', 'label': 'Năm đăng ký'}, {'id': 'motorbiketype', 'value': 'Xe số', 'label': 'Loại xe'}, {'id': 'condition_ad', 'value': 'Đã sử dụng', 'label': 'Tình trạng'}]",19L1 8281,2,5,2,2
1,10,149820667,Cub fi,Nhà ko có chỗ để cần bán lại cub fi 50 màu sơn 116 đồ zin theo xe còn đầy đủ ko lai món nào hết giấy tờ ace tự lo xe còn là tin còn cảm ơn ace đã xem tin,Tp Hồ Chí Minh,False,1,s,19500000,https://cdn.chotot.com/Xt3Q-XGmsa00sZ6rAAAlD4esWuYT2CvkCRd1CrsGDfI/preset:listing/plain/df2e019fe5187b760478af8456575c29-2842338371988821941.webp,2008,Đã sử dụng,49999,2,"[{'id': 'regdate', 'value': '2008', 'label': 'Năm đăng ký'}, {'id': 'motorbiketype', 'value': 'Xe số', 'label': 'Loại xe'}, {'id': 'condition_ad', 'value': 'Đã sử dụng', 'label': 'Tình trạng'}]",,2,5,2,2
1,10,149820839,Bán xe Cub 81 kim vàng giọt lệ,"Xe máy êm, phù hợp cho học sinh hay người lớn tuổi",Bà Rịa - Vũng Tàu,False,1,s,12500000,https://cdn.chotot.com/iP4FA2VxqWGgLIFoPPIp2cLoIv-BUOtRt-jM5vNFu_g/preset:listing/plain/15e0bad8f4c470d82d387af10eaadb4c-2842339090999051255.webp,1996,Đã sử dụng,65789,2,"[{'id': 'regdate', 'value': '1996', 'label': 'Năm đăng ký'}, {'id': 'motorbiketype', 'value': 'Xe số', 'label': 'Loại xe'}, {'id': 'condition_ad', 'value': 'Đã sử dụng', 'label': 'Tình trạng'}]",,2,,2,2
1,10,149820044,cub 86 bs63,"Cub 86
Bs63
Xe máy êm như xe điện
Xe zin toàn bộ
Xe điện bình đầy đủ
Máy nhẹ nhàng bốc mạnh",Tiền Giang,True,1,s,13500000,https://cdn.chotot.com/ZUsIZo5cD0o1-8aekmmZ95lNHlFcibUdbpwtTmd2pxM/preset:listing/plain/3fd9f33e68b8166f157b6daf8dac184a-2842336665773087056.webp,1986,Đã sử dụng,30000,2,"[{'id': 'regdate', 'value': '1986', 'label': 'Năm đăng ký'}, {'id': 'motorbiketype', 'value': 'Xe số', 'label': 'Loại xe'}, {'id': 'condition_ad', 'value': 'Đã sử dụng', 'label': 'Tình trạng'}]",,2,,2,2
1,10,149810049,Cub 50 biển TP nguyên bản máy êm,"Bán xe Cub 50  biển số TP, máy êm,  giấy tờ đầy đủ hợp lệ.",Bình Dương,False,1,s,5500000,https://cdn.chotot.com/1H-Fpc9nFQqV3FEVW9dOOaRYNvDjhbqF-ASLUvXMl5A/preset:listing/plain/2dbe81ab6f6cb8a9e90a131bfeea5923-2842309840453245606.webp,1980,Đã sử dụng,10000,2,"[{'id': 'regdate', 'value': 'trước năm 1980', 'label': 'Năm đăng ký'}, {'id': 'motorbiketype', 'value': 'Xe số', 'label': 'Loại xe'}, {'id': 'condition_ad', 'value': 'Đã sử dụng', 'label': 'Tình trạng'}]",,2,5,2,2
1,10,149807837,cúp 50 dọn săn giấy tờ đầy đủ chuẩn . máy êm,"Xe cúp 50 dọn sạch sẽ thích hợp cho học sinh đi học đi chợ 
Xe máy móc ngon lành 
Giấy tờ chuẩn  có thương lương",Tp Hồ Chí Minh,True,1,s,11500000,https://cdn.chotot.com/Bz2xLK7eWIgWQWwYyRD9rjggccYt1ZooUFyqf2urtrA/preset:listing/plain/5933321f9a6aa692b5d8501a93e2047c-2842305655543896742.webp,1993,Đã sử dụng,350000,2,"[{'id': 'regdate', 'value': '1993', 'label': 'Năm đăng ký'}, {'id': 'motorbiketype', 'value': 'Xe số', 'label': 'Loại xe'}, {'id': 'condition_ad', 'value': 'Đã sử dụng', 'label': 'Tình trạng'}]",62 607 cd,2,5,2,2
1,10,149807213,cab xe cub 82,"Cần bán gấp xe cub 81 biển số thành phố máy móc êm ru điện  điện đèn còi đầy đủ xem xe lh64 thoại Ngọc hầu phường hòa Thạnh Tân Phú hcm
Dt ***",Tp Hồ Chí Minh,True,1,s,13500000,https://cdn.chotot.com/6I7A9aNYGJlx6HXtnkWP2355i79ZFG1Vyf_PjtISvEk/preset:listing/plain/aea569402b8b1725c4e6db47fb439e1e-2842304222324163329.webp,1996,Đã sử dụng,7966,2,"[{'id': 'regdate', 'value': '1996', 'label': 'Năm đăng ký'}, {'id': 'motorbiketype', 'value': 'Xe số', 'label': 'Loại xe'}, {'id': 'condition_ad', 'value': 'Đã sử dụng', 'label': 'Tình trạng'}]",,2,5,2,2
